1	1
2	3
3	1
4	1
5	1
6	5
7	1
8	1
9	1
10	1
11	1
12	5
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	3
26	3
27	1
28	3
29	1
30	5
31	1
32	3
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	5
43	1
44	1
45	5
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	5
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	3
65	3
66	5
67	1
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	3
80	2
81	2
82	3
83	3
84	3
85	3
86	3
87	2
88	2
89	3
90	1
91	2
92	2
93	2
94	2
95	2
96	3
97	3
98	2
99	2
100	3
101	3
102	2
103	2
104	2
105	3
106	2
106	1
107	2
107	1
107	1
108	2
108	1
108	1
109	2
110	3
111	2
111	1
112	1
113	2
114	3
115	3
116	2
117	3
118	2
119	3
120	2
121	2
122	2
123	2
124	2
125	3
125	1
126	2
127	1
128	3
129	1
130	1
131	3
132	3
133	1
134	1
135	2
136	3
136	2
137	3
137	2
137	2
137	2
138	3
138	2
138	2
138	2
138	2
138	2
139	2
139	2
140	3
140	2
140	2
140	2
141	3
142	3
143	3
144	3
145	3
146	1
147	3
148	3
149	2
150	3
151	2
152	2
153	2
154	2
155	3
156	2
157	2
158	2
159	2
160	2
161	2
162	3
163	2
164	2
165	2
166	2
167	2
167	3
168	3
168	3
168	3
169	2
169	3
170	3
171	3
171	3
172	2
172	1
173	3
174	3
175	2
176	3
176	3
177	3
178	1
179	2
180	1
180	3
181	1
182	2
183	3
183	3
184	3
185	3
185	3
186	3
187	1
188	1
188	3
189	1
190	1
191	1
192	2
193	3
193	3
194	3
195	2
196	3
196	1
197	2
197	3
198	3
199	1
200	3
200	3
201	3
202	3
202	3
203	4
204	3
205	3
206	3
207	4
208	3
209	3
210	4
211	5
212	4
213	3
214	4
215	2
216	3
217	3
218	4
219	3
220	4
221	1
222	4
223	3
224	3
225	3
226	4
227	4
228	2
229	4
229	5
230	3
231	2
232	3
233	3
234	3
235	3
236	4
237	4
238	1
239	4
240	3
241	1
242	3
243	4
244	3
245	3
246	2
247	2
248	4
249	4
250	4
251	4
252	3
252	5
253	3
254	4
255	4
256	4
257	4
258	4
259	4
260	4
261	4
262	4
263	4
264	3
265	3
266	3
267	3
268	4
269	2
270	4
271	3
272	2
273	2
274	3
275	3
276	4
277	2
278	4
279	4
280	5
281	4
281	4
282	4
282	4
283	5
284	5
284	4
285	4
285	4
285	4
285	4
286	4
287	4
287	4
288	4
289	4
289	5
290	4
290	4
290	4
291	5
291	4
291	4
292	4
293	1
294	1
295	4
296	4
297	4
298	4
299	1
300	4
301	4
302	4
303	4
304	4
305	4
306	4
306	5
307	4
307	5
308	4
308	5
308	5
309	4
309	5
310	4
311	4
312	4
313	5
314	4
315	4
316	4
317	4
318	4
319	5
320	5
321	4
322	4
323	4
324	4
325	4
326	4
327	4
328	4
329	4
330	4
331	4
332	1
333	5
334	5
335	5
336	5
337	5
338	5
339	5
340	5
341	5
342	4
343	5
344	5
345	5
346	5
347	1
348	5
349	5
350	5
351	5
352	5
353	5
354	1
355	5
356	5
357	5
358	5
359	1
360	5
361	4
362	1
363	5
364	5
365	5
366	1
367	5
368	5
369	1
370	1
371	5
372	5
373	5
374	5
375	5
376	5
377	5
378	5
379	5
380	5
381	5
382	5
383	5
384	5
385	5
386	5
